SYNTHETIC BANK ACCOUNT STATEMENT
Period: 2026-01-01 — 2026-03-31
Every data row below is one posted bank transaction; no archive or instructions are included.
transaction_id,occurred_at,posted_at,merchant,description,amount_minor,currency,card_last4,channel,status,category_id,merchant_country,mcc,authorization_code,terminal_id,counterparty,balance_after_minor,payment_purpose,provider_reference,fee_minor
TX-000001,2026-01-01 09:07:00,2026-01-02,NOVA MARKET,groceries,-727,RUB,4401,card,posted,food.groceries,RU,5311,AUTH-0000000001,TERM-1001,counterparty-01,7499273,household account; groceries; statement export,PROVIDER-2026-00000001,1
TX-000319,2026-02-18 15:13:00,2026-02-19,GREEN MARKET,fresh food,-293,RUB,4409,card,posted,food.groceries,RU,5411,AUTH-0000000319,TERM-1049,counterparty-31,4512294,household account; fresh food; statement export,PROVIDER-2026-00000319,3
TX-000320,2026-02-19 16:20:00,2026-02-20,BOOK HOUSE,books and stationery,-430,RUB,4400,card,posted,unknown,RU,5942,AUTH-0000000320,TERM-1050,counterparty-00,4511864,household account; books and stationery; statement export,PROVIDER-2026-00000320,0
TX-000321,2026-02-20 17:27:00,2026-02-21,NOVA MARKET,groceries,-567,RUB,4401,qr,posted,food.groceries,RU,5311,AUTH-0000000321,TERM-1051,counterparty-01,4511297,household account; groceries; statement export,PROVIDER-2026-00000321,1
TX-000322,2026-02-21 18:34:00,2026-02-22,CITY RIDE,completed ride,-704,RUB,4402,card,posted,transport,RU,4121,AUTH-0000000322,TERM-1052,counterparty-02,4510593,household account; completed ride; statement export,PROVIDER-2026-00000322,2
TX-000323,2026-02-22 19:41:00,2026-02-23,RIVER PAY,online order,-841,RUB,4403,card,posted,services.digital,RU,5812,AUTH-0000000323,TERM-1053,counterparty-03,4509752,household account; online order; statement export,PROVIDER-2026-00000323,3
TX-000324,2026-02-23 08:48:00,2026-02-24,NORTH CAFE,coffee and lunch,-978,RUB,4404,qr,posted,food.cafe,RU,5814,AUTH-0000000324,TERM-1054,counterparty-04,4508774,household account; coffee and lunch; statement export,PROVIDER-2026-00000324,0
TX-000325,2026-02-24 09:55:00,2026-02-25,MEDI-CORNER,pharmacy goods,-1115,RUB,4405,card,posted,health.pharmacy,RU,5912,AUTH-0000000325,TERM-1055,counterparty-05,4507659,household account; pharmacy goods; statement export,PROVIDER-2026-00000325,1
TX-000326,2026-02-25 10:02:00,2026-02-26,STREAM BOX,monthly subscription,-1252,RUB,4406,card,posted,services.digital,RU,4899,AUTH-0000000326,TERM-1056,counterparty-06,4506407,household account; monthly subscription; statement export,PROVIDER-2026-00000326,2
TX-000327,2026-02-26 11:09:00,2026-02-27,GREEN MARKET,fresh food,-1389,RUB,4407,qr,posted,food.groceries,RU,5411,AUTH-0000000327,TERM-1057,counterparty-07,4505018,household account; fresh food; statement export,PROVIDER-2026-00000327,3
TX-000328,2026-02-27 12:16:00,2026-02-28,BOOK HOUSE,books and stationery,-1526,RUB,4408,card,posted,unknown,RU,5942,AUTH-0000000328,TERM-1058,counterparty-08,4503492,household account; books and stationery; statement export,PROVIDER-2026-00000328,0
TX-000329,2026-02-28 13:23:00,2026-03-01,NOVA MARKET,groceries,-1663,RUB,4409,card,posted,food.groceries,RU,5311,AUTH-0000000329,TERM-1059,counterparty-09,4501829,household account; groceries; statement export,PROVIDER-2026-00000329,1
TX-000330,2026-03-01 14:30:00,2026-03-02,CITY RIDE,completed ride,-1800,RUB,4400,qr,posted,transport,RU,4121,AUTH-0000000330,TERM-1060,counterparty-10,4500029,household account; completed ride; statement export,PROVIDER-2026-00000330,2
TX-000331,2026-03-02 15:37:00,2026-03-03,RIVER PAY,online order,-1937,RUB,4401,card,posted,services.digital,RU,5812,AUTH-0000000331,TERM-1061,counterparty-11,4498092,household account; online order; statement export,PROVIDER-2026-00000331,3
TX-000332,2026-03-03 16:44:00,2026-03-04,NORTH CAFE,coffee and lunch,-2074,RUB,4402,card,posted,food.cafe,RU,5814,AUTH-0000000332,TERM-1062,counterparty-12,4496018,household account; coffee and lunch; statement export,PROVIDER-2026-00000332,0
TX-000333,2026-03-04 17:51:00,2026-03-05,MEDI-CORNER,pharmacy goods,-2211,RUB,4403,qr,posted,health.pharmacy,RU,5912,AUTH-0000000333,TERM-1063,counterparty-13,4493807,household account; pharmacy goods; statement export,PROVIDER-2026-00000333,1
TX-000334,2026-03-05 18:58:00,2026-03-06,STREAM BOX,monthly subscription,-2348,RUB,4404,card,posted,services.digital,RU,4899,AUTH-0000000334,TERM-1064,counterparty-14,4491459,household account; monthly subscription; statement export,PROVIDER-2026-00000334,2
TX-000335,2026-03-06 19:05:00,2026-03-07,GREEN MARKET,fresh food,-2485,RUB,4405,card,posted,food.groceries,RU,5411,AUTH-0000000335,TERM-1065,counterparty-15,4488974,household account; fresh food; statement export,PROVIDER-2026-00000335,3
TX-000336,2026-03-07 08:12:00,2026-03-08,BOOK HOUSE,books and stationery,-2622,RUB,4406,qr,posted,unknown,RU,5942,AUTH-0000000336,TERM-1066,counterparty-16,4486352,household account; books and stationery; statement export,PROVIDER-2026-00000336,0
TX-000337,2026-03-08 09:19:00,2026-03-09,NOVA MARKET,groceries,-2759,RUB,4407,card,posted,food.groceries,RU,5311,AUTH-0000000337,TERM-1067,counterparty-17,4483593,household account; groceries; statement export,PROVIDER-2026-00000337,1
TX-000338,2026-03-09 10:26:00,2026-03-10,CITY RIDE,completed ride,-2896,RUB,4408,card,posted,transport,RU,4121,AUTH-0000000338,TERM-1068,counterparty-18,4480697,household account; completed ride; statement export,PROVIDER-2026-00000338,2
TX-000339,2026-03-10 11:33:00,2026-03-11,RIVER PAY,online order,-3033,RUB,4409,qr,posted,services.digital,RU,5812,AUTH-0000000339,TERM-1069,counterparty-19,4477664,household account; online order; statement export,PROVIDER-2026-00000339,3
TX-000340,2026-03-11 12:40:00,2026-03-12,NORTH CAFE,coffee and lunch,-3170,RUB,4400,card,posted,food.cafe,RU,5814,AUTH-0000000340,TERM-1070,counterparty-20,4474494,household account; coffee and lunch; statement export,PROVIDER-2026-00000340,0
TX-000341,2026-03-12 13:47:00,2026-03-13,MEDI-CORNER,pharmacy goods,-3307,RUB,4401,card,posted,health.pharmacy,RU,5912,AUTH-0000000341,TERM-1071,counterparty-21,4471187,household account; pharmacy goods; statement export,PROVIDER-2026-00000341,1
TX-000342,2026-03-13 14:54:00,2026-03-14,STREAM BOX,monthly subscription,-3444,RUB,4402,qr,posted,services.digital,RU,4899,AUTH-0000000342,TERM-1072,counterparty-22,4467743,household account; monthly subscription; statement export,PROVIDER-2026-00000342,2
TX-000343,2026-03-14 15:01:00,2026-03-15,GREEN MARKET,fresh food,-3581,RUB,4403,card,posted,food.groceries,RU,5411,AUTH-0000000343,TERM-1073,counterparty-23,4464162,household account; fresh food; statement export,PROVIDER-2026-00000343,3
TX-000344,2026-03-15 16:08:00,2026-03-16,BOOK HOUSE,books and stationery,-3718,RUB,4404,card,posted,unknown,RU,5942,AUTH-0000000344,TERM-1074,counterparty-24,4460444,household account; books and stationery; statement export,PROVIDER-2026-00000344,0
TX-000345,2026-03-16 17:15:00,2026-03-17,NOVA MARKET,groceries,-3855,RUB,4405,qr,posted,food.groceries,RU,5311,AUTH-0000000345,TERM-1075,counterparty-25,4456589,household account; groceries; statement export,PROVIDER-2026-00000345,1
TX-000346,2026-03-17 18:22:00,2026-03-18,CITY RIDE,completed ride,-3992,RUB,4406,card,posted,transport,RU,4121,AUTH-0000000346,TERM-1076,counterparty-26,4452597,household account; completed ride; statement export,PROVIDER-2026-00000346,2
TX-000347,2026-03-18 19:29:00,2026-03-19,RIVER PAY,online order,-4129,RUB,4407,card,posted,services.digital,RU,5812,AUTH-0000000347,TERM-1077,counterparty-27,4448468,household account; online order; statement export,PROVIDER-2026-00000347,3
TX-000348,2026-03-19 08:36:00,2026-03-20,NORTH CAFE,coffee and lunch,-4266,RUB,4408,qr,posted,food.cafe,RU,5814,AUTH-0000000348,TERM-1078,counterparty-28,4444202,household account; coffee and lunch; statement export,PROVIDER-2026-00000348,0
TX-000349,2026-03-20 09:43:00,2026-03-21,MEDI-CORNER,pharmacy goods,-4403,RUB,4409,card,posted,health.pharmacy,RU,5912,AUTH-0000000349,TERM-1079,counterparty-29,4439799,household account; pharmacy goods; statement export,PROVIDER-2026-00000349,1
TX-000350,2026-03-21 10:50:00,2026-03-22,STREAM BOX,monthly subscription,-4540,RUB,4400,card,posted,services.digital,RU,4899,AUTH-0000000350,TERM-1080,counterparty-30,4435259,household account; monthly subscription; statement export,PROVIDER-2026-00000350,2
TX-000351,2026-03-22 11:57:00,2026-03-23,GREEN MARKET,fresh food,-4677,RUB,4401,qr,posted,food.groceries,RU,5411,AUTH-0000000351,TERM-1081,counterparty-31,4430582,household account; fresh food; statement export,PROVIDER-2026-00000351,3
TX-000352,2026-03-23 12:04:00,2026-03-24,BOOK HOUSE,books and stationery,-4814,RUB,4402,card,posted,unknown,RU,5942,AUTH-0000000352,TERM-1082,counterparty-00,4425768,household account; books and stationery; statement export,PROVIDER-2026-00000352,0
TX-000353,2026-03-24 13:11:00,2026-03-25,NOVA MARKET,groceries,-4951,RUB,4403,card,posted,food.groceries,RU,5311,AUTH-0000000353,TERM-1083,counterparty-01,4420817,household account; groceries; statement export,PROVIDER-2026-00000353,1
TX-000354,2026-03-25 14:18:00,2026-03-26,CITY RIDE,completed ride,-5088,RUB,4404,qr,posted,transport,RU,4121,AUTH-0000000354,TERM-1084,counterparty-02,4415729,household account; completed ride; statement export,PROVIDER-2026-00000354,2
TX-000355,2026-03-26 15:25:00,2026-03-27,RIVER PAY,online order,-5225,RUB,4405,card,posted,services.digital,RU,5812,AUTH-0000000355,TERM-1085,counterparty-03,4410504,household account; online order; statement export,PROVIDER-2026-00000355,3
TX-000356,2026-03-27 16:32:00,2026-03-28,NORTH CAFE,coffee and lunch,-5362,RUB,4406,card,posted,food.cafe,RU,5814,AUTH-0000000356,TERM-1086,counterparty-04,4405142,household account; coffee and lunch; statement export,PROVIDER-2026-00000356,0
TX-000357,2026-03-28 17:39:00,2026-03-29,MEDI-CORNER,pharmacy goods,-5499,RUB,4407,qr,posted,health.pharmacy,RU,5912,AUTH-0000000357,TERM-1087,counterparty-05,4399643,household account; pharmacy goods; statement export,PROVIDER-2026-00000357,1
TX-000358,2026-03-29 18:46:00,2026-03-30,STREAM BOX,monthly subscription,-5636,RUB,4408,card,posted,services.digital,RU,4899,AUTH-0000000358,TERM-1088,counterparty-06,4394007,household account; monthly subscription; statement export,PROVIDER-2026-00000358,2
TX-000359,2026-03-30 19:53:00,2026-03-31,GREEN MARKET,fresh food,-5773,RUB,4409,card,posted,food.groceries,RU,5411,AUTH-0000000359,TERM-1089,counterparty-07,4388234,household account; fresh food; statement export,PROVIDER-2026-00000359,3
TX-000360,2026-03-31 08:00:00,2026-04-01,BOOK HOUSE,books and stationery,-5910,RUB,4400,qr,posted,unknown,RU,5942,AUTH-0000000360,TERM-1000,counterparty-08,4382324,household account; books and stationery; statement export,PROVIDER-2026-00000360,0
TX-000361,2026-01-01 09:07:00,2026-01-02,NOVA MARKET,groceries,-6047,RUB,4401,card,posted,food.groceries,RU,5311,AUTH-0000000361,TERM-1001,counterparty-09,4376277,household account; groceries; statement export,PROVIDER-2026-00000361,1
TX-000362,2026-01-02 10:14:00,2026-01-03,CITY RIDE,completed ride,-6184,RUB,4402,card,posted,transport,RU,4121,AUTH-0000000362,TERM-1002,counterparty-10,4370093,household account; completed ride; statement export,PROVIDER-2026-00000362,2
TX-000363,2026-01-03 11:21:00,2026-01-04,RIVER PAY,online order,-6321,RUB,4403,qr,posted,services.digital,RU,5812,AUTH-0000000363,TERM-1003,counterparty-11,4363772,household account; online order; statement export,PROVIDER-2026-00000363,3
TX-000364,2026-01-04 12:28:00,2026-01-05,NORTH CAFE,coffee and lunch,-6458,RUB,4404,card,posted,food.cafe,RU,5814,AUTH-0000000364,TERM-1004,counterparty-12,4357314,household account; coffee and lunch; statement export,PROVIDER-2026-00000364,0
TX-000365,2026-01-05 13:35:00,2026-01-06,MEDI-CORNER,pharmacy goods,-6595,RUB,4405,card,posted,health.pharmacy,RU,5912,AUTH-0000000365,TERM-1005,counterparty-13,4350719,household account; pharmacy goods; statement export,PROVIDER-2026-00000365,1
TX-000366,2026-01-06 14:42:00,2026-01-07,STREAM BOX,monthly subscription,-6732,RUB,4406,qr,posted,services.digital,RU,4899,AUTH-0000000366,TERM-1006,counterparty-14,4343987,household account; monthly subscription; statement export,PROVIDER-2026-00000366,2
TX-000367,2026-01-07 15:49:00,2026-01-08,GREEN MARKET,fresh food,-6869,RUB,4407,card,posted,food.groceries,RU,5411,AUTH-0000000367,TERM-1007,counterparty-15,4337118,household account; fresh food; statement export,PROVIDER-2026-00000367,3
TX-000368,2026-01-08 16:56:00,2026-01-09,BOOK HOUSE,books and stationery,-7006,RUB,4408,card,posted,unknown,RU,5942,AUTH-0000000368,TERM-1008,counterparty-16,4330112,household account; books and stationery; statement export,PROVIDER-2026-00000368,0
TX-000369,2026-01-09 17:03:00,2026-01-10,NOVA MARKET,groceries,-7143,RUB,4409,qr,posted,food.groceries,RU,5311,AUTH-0000000369,TERM-1009,counterparty-17,4322969,household account; groceries; statement export,PROVIDER-2026-00000369,1
TX-000370,2026-01-10 18:10:00,2026-01-11,CITY RIDE,completed ride,-7280,RUB,4400,card,posted,transport,RU,4121,AUTH-0000000370,TERM-1010,counterparty-18,4315689,household account; completed ride; statement export,PROVIDER-2026-00000370,2
TX-000371,2026-01-11 19:17:00,2026-01-12,RIVER PAY,online order,-7417,RUB,4401,card,posted,services.digital,RU,5812,AUTH-0000000371,TERM-1011,counterparty-19,4308272,household account; online order; statement export,PROVIDER-2026-00000371,3
TX-000372,2026-01-12 08:24:00,2026-01-13,NORTH CAFE,coffee and lunch,-7554,RUB,4402,qr,posted,food.cafe,RU,5814,AUTH-0000000372,TERM-1012,counterparty-20,4300718,household account; coffee and lunch; statement export,PROVIDER-2026-00000372,0
TX-000373,2026-01-13 09:31:00,2026-01-14,MEDI-CORNER,pharmacy goods,-7691,RUB,4403,card,posted,health.pharmacy,RU,5912,AUTH-0000000373,TERM-1013,counterparty-21,4293027,household account; pharmacy goods; statement export,PROVIDER-2026-00000373,1
TX-000374,2026-01-14 10:38:00,2026-01-15,STREAM BOX,monthly subscription,-7828,RUB,4404,card,posted,services.digital,RU,4899,AUTH-0000000374,TERM-1014,counterparty-22,4285199,household account; monthly subscription; statement export,PROVIDER-2026-00000374,2
TX-000375,2026-01-15 11:45:00,2026-01-16,GREEN MARKET,fresh food,-7965,RUB,4405,qr,posted,food.groceries,RU,5411,AUTH-0000000375,TERM-1015,counterparty-23,4277234,household account; fresh food; statement export,PROVIDER-2026-00000375,3
TX-000376,2026-01-16 12:52:00,2026-01-17,BOOK HOUSE,books and stationery,-8102,RUB,4406,card,posted,unknown,RU,5942,AUTH-0000000376,TERM-1016,counterparty-24,4269132,household account; books and stationery; statement export,PROVIDER-2026-00000376,0
TX-000377,2026-01-17 13:59:00,2026-01-18,NOVA MARKET,groceries,-8239,RUB,4407,card,posted,food.groceries,RU,5311,AUTH-0000000377,TERM-1017,counterparty-25,4260893,household account; groceries; statement export,PROVIDER-2026-00000377,1
TX-000378,2026-01-18 14:06:00,2026-01-19,CITY RIDE,completed ride,-8376,RUB,4408,qr,posted,transport,RU,4121,AUTH-0000000378,TERM-1018,counterparty-26,4252517,household account; completed ride; statement export,PROVIDER-2026-00000378,2
TX-000379,2026-01-19 15:13:00,2026-01-20,RIVER PAY,online order,-8513,RUB,4409,card,posted,services.digital,RU,5812,AUTH-0000000379,TERM-1019,counterparty-27,4244004,household account; online order; statement export,PROVIDER-2026-00000379,3
TX-000380,2026-01-20 16:20:00,2026-01-21,NORTH CAFE,coffee and lunch,-8650,RUB,4400,card,posted,food.cafe,RU,5814,AUTH-0000000380,TERM-1020,counterparty-28,4235354,household account; coffee and lunch; statement export,PROVIDER-2026-00000380,0
TX-000381,2026-01-21 17:27:00,2026-01-22,MEDI-CORNER,pharmacy goods,-8787,RUB,4401,qr,posted,health.pharmacy,RU,5912,AUTH-0000000381,TERM-1021,counterparty-29,4226567,household account; pharmacy goods; statement export,PROVIDER-2026-00000381,1
TX-000382,2026-01-22 18:34:00,2026-01-23,STREAM BOX,monthly subscription,-8924,RUB,4402,card,posted,services.digital,RU,4899,AUTH-0000000382,TERM-1022,counterparty-30,4217643,household account; monthly subscription; statement export,PROVIDER-2026-00000382,2
TX-000383,2026-01-23 19:41:00,2026-01-24,GREEN MARKET,fresh food,-9061,RUB,4403,card,posted,food.groceries,RU,5411,AUTH-0000000383,TERM-1023,counterparty-31,4208582,household account; fresh food; statement export,PROVIDER-2026-00000383,3
TX-000384,2026-01-24 08:48:00,2026-01-25,BOOK HOUSE,books and stationery,-9198,RUB,4404,qr,posted,unknown,RU,5942,AUTH-0000000384,TERM-1024,counterparty-00,4199384,household account; books and stationery; statement export,PROVIDER-2026-00000384,0
TX-000385,2026-01-25 09:55:00,2026-01-26,NOVA MARKET,groceries,-9335,RUB,4405,card,posted,food.groceries,RU,5311,AUTH-0000000385,TERM-1025,counterparty-01,4190049,household account; groceries; statement export,PROVIDER-2026-00000385,1
TX-000386,2026-01-26 10:02:00,2026-01-27,CITY RIDE,completed ride,-9472,RUB,4406,card,posted,transport,RU,4121,AUTH-0000000386,TERM-1026,counterparty-02,4180577,household account; completed ride; statement export,PROVIDER-2026-00000386,2
TX-000387,2026-01-27 11:09:00,2026-01-28,RIVER PAY,online order,-9609,RUB,4407,qr,posted,services.digital,RU,5812,AUTH-0000000387,TERM-1027,counterparty-03,4170968,household account; online order; statement export,PROVIDER-2026-00000387,3
TX-000388,2026-01-28 12:16:00,2026-01-29,NORTH CAFE,coffee and lunch,-9746,RUB,4408,card,posted,food.cafe,RU,5814,AUTH-0000000388,TERM-1028,counterparty-04,4161222,household account; coffee and lunch; statement export,PROVIDER-2026-00000388,0
TX-000389,2026-01-29 13:23:00,2026-01-30,MEDI-CORNER,pharmacy goods,-9883,RUB,4409,card,posted,health.pharmacy,RU,5912,AUTH-0000000389,TERM-1029,counterparty-05,4151339,household account; pharmacy goods; statement export,PROVIDER-2026-00000389,1
TX-000390,2026-01-30 14:30:00,2026-01-31,STREAM BOX,monthly subscription,-10020,RUB,4400,qr,posted,services.digital,RU,4899,AUTH-0000000390,TERM-1030,counterparty-06,4141319,household account; monthly subscription; statement export,PROVIDER-2026-00000390,2
TX-000391,2026-01-31 15:37:00,2026-02-01,GREEN MARKET,fresh food,-10157,RUB,4401,card,posted,food.groceries,RU,5411,AUTH-0000000391,TERM-1031,counterparty-07,4131162,household account; fresh food; statement export,PROVIDER-2026-00000391,3
TX-000392,2026-02-01 16:44:00,2026-02-02,BOOK HOUSE,books and stationery,-10294,RUB,4402,card,posted,unknown,RU,5942,AUTH-0000000392,TERM-1032,counterparty-08,4120868,household account; books and stationery; statement export,PROVIDER-2026-00000392,0
TX-000393,2026-02-02 17:51:00,2026-02-03,NOVA MARKET,groceries,-10431,RUB,4403,qr,posted,food.groceries,RU,5311,AUTH-0000000393,TERM-1033,counterparty-09,4110437,household account; groceries; statement export,PROVIDER-2026-00000393,1
TX-000394,2026-02-03 18:58:00,2026-02-04,CITY RIDE,completed ride,-10568,RUB,4404,card,posted,transport,RU,4121,AUTH-0000000394,TERM-1034,counterparty-10,4099869,household account; completed ride; statement export,PROVIDER-2026-00000394,2
